url,Price,Accommodates,Overall Rating,Value,Reviews
https://www.airbnb.com/rooms/45828592,10.0,3,5.0,4.67,3
https://www.airbnb.com/rooms/29711943,25.0,1,5.0,4.6,6
https://www.airbnb.com/rooms/4755586,27.0,1,4.73,4.8,20
https://www.airbnb.com/rooms/35547817,30.0,1,5.0,5.0,5
https://www.airbnb.com/rooms/23375776,32.0,1,4.92,4.83,12
https://www.airbnb.com/rooms/12336281,33.0,1,4.53,4.47,15
https://www.airbnb.com/rooms/13258244,33.0,1,5.0,4.92,13
https://www.airbnb.com/rooms/23842606,33.0,1,5.0,4.83,12
https://www.airbnb.com/rooms/49941156,33.0,1,5.0,5.0,1
https://www.airbnb.com/rooms/10524872,34.0,1,4.64,4.79,14
